         1,         0,   959,  -747,  -718, -1211,     0,  -289,  -230, -1113,1,0
         2,       250,   958,  -737,  -728, -1211,     0,  -318,  -202, -1113,1,0
         3,       500,   954,  -666,  -790, -1211,    20,  -481,   -54, -1113,1,0
         4,       750,   942,  -578,  -856, -1211,    67,  -622,    45, -1113,1,0
         5,      1000,   922,  -481,  -916, -1211,   134,  -773,   134, -1113,1,0
         6,      1250,   893,  -359,  -986, -1211,   227,  -942,   215, -1113,1,0
         7,      1500,   854,  -228, -1046, -1211,   338, -1053,   220, -1113,1,0
         8,      1750,   805,   -86, -1099, -1211,   464, -1216,   263, -1113,1,0
         9,      2000,   744,    62, -1138, -1211,   613, -1373,   279, -1113,1,0
        10,      2250,   674,   211, -1161, -1211,   775, -1484,   232, -1113,1,0
        11,      2500,   594,   355, -1162, -1211,   950, -1622,   201, -1113,1,0
        12,      2750,   504,   501, -1150, -1211,  1137, -1721,   118, -1113,1,0
        13,      3000,   406,   639, -1114, -1211,  1329, -1804,    15, -1113,1,0
        14,      3250,   300,   766, -1055, -1211,  1529, -1894,   -89, -1113,1,0
        15,      3500,   188,   885,  -976, -1211,  1731, -1929,  -253, -1113,1,0
        16,      3750,    71,   984,  -869, -1211,  1930, -1957,  -419, -1113,1,0
        17,      4000,   -50,  1071,  -743, -1211,  2127, -1974,  -597, -1113,1,0
        18,      4250,  -173,  1139,  -594, -1211,  2317, -1935,  -824, -1113,1,0
        19,      4500,  -298,  1183,  -419, -1211,  2495, -1893, -1043, -1113,1,0
        20,      4750,  -422,  1207,  -226, -1211,  2663, -1821, -1282, -1113,1,0
        21,      5000,  -544,  1204,   -10, -1211,  2814, -1705, -1550, -1113,1,0
        22,      5250,  -663,  1175,   224, -1211,  2946, -1583, -1805, -1113,1,0
        23,      5500,  -776,  1121,   475, -1211,  3058, -1421, -2082, -1113,1,0
        24,      5750,  -882,  1037,   744, -1211,  3145, -1228, -2366, -1113,1,0
        25,      6000,  -980,   925,  1025, -1211,  3207, -1023, -2637, -1113,1,0
        26,      6250, -1068,   784,  1317, -1211,  3241,  -779, -2922, -1113,1,0
        27,      6500, -1145,   613,  1620, -1211,  3245,  -517, -3195, -1113,1,0
        28,      6750, -1209,   414,  1927, -1211,  3218,  -236, -3457, -1113,1,0
        29,      7000, -1259,   185,  2238, -1211,  3158,    76, -3717, -1113,1,0
        30,      7250, -1294,   -71,  2550, -1211,  3064,   395, -3953, -1113,1,0
        31,      7500, -1312,  -352,  2858, -1211,  2937,   735, -4176, -1113,1,0
        32,      7750, -1312,  -660,  3161, -1211,  2774,  1092, -4383, -1113,1,0
        33,      8000, -1295,  -991,  3456, -1211,  2577,  1449, -4555, -1113,1,0
        34,      8250, -1258, -1343,  3737, -1211,  2346,  1822, -4710, -1113,1,0
        35,      8500, -1202, -1715,  4005, -1211,  2080,  2198, -4835, -1113,1,0
        36,      8750, -1126, -2104,  4254, -1211,  1782,  2568, -4922, -1113,1,0
        37,      9000, -1030, -2506,  4481, -1211,  1453,  2944, -4984, -1113,1,0
        38,      9250,  -914, -2921,  4685, -1211,  1094,  3309, -5004, -1113,1,0
        39,      9500,  -778, -3343,  4862, -1211,   707,  3663, -4987, -1113,1,0
        40,      9750,  -622, -3770,  5009, -1211,   295,  4010, -4937, -1113,1,0
        41,     10000,  -446, -4199,  5124, -1211,  -141,  4333, -4840, -1113,1,0
        42,     10250,  -252, -4626,  5205, -1211,  -596,  4639, -4705, -1113,1,0
        43,     10500,   -41, -5048,  5249, -1211, -1069,  4924, -4532, -1113,1,0
        44,     10750,   187, -5460,  5256, -1211, -1556,  5177, -4311, -1113,1,0
        45,     11000,   431, -5860,  5223, -1211, -2052,  5405, -4056, -1113,1,0
        46,     11250,   689, -6243,  5149, -1211, -2556,  5598, -3758, -1113,1,0
        47,     11500,   959, -6607,  5034, -1211, -3062,  5752, -3418, -1113,1,0
        48,     11750,  1241, -6946,  4876, -1211, -3567,  5874, -3046, -1113,1,0
